fueltype,doornumber,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,price
gas,four,front,94.5,170.2,63.8,53.5,2037,four,97,3.15,3.29,9.4,69,5200,7999
gas,two,front,95.1,162.4,63.8,53.3,2008,four,97,3.15,3.29,9.4,69,5200,8249
gas,four,front,97.2,173.4,65.2,54.7,2324,four,120,3.33,3.47,8.5,97,5200,8949
gas,four,front,97.2,173.4,65.2,54.7,2302,four,120,3.33,3.47,8.5,97,5200,9549
gas,four,front,100.4,181.7,66.5,55.1,3095,six,181,3.43,3.27,9,152,5200,13499
gas,four,front,100.4,184.6,66.5,56.1,3296,six,181,3.43,3.27,9,152,5200,14399
gas,four,front,100.4,184.6,66.5,55.1,3060,six,181,3.43,3.27,9,152,5200,13499
gas,two,front,91.3,170.7,67.9,49.7,3071,six,181,3.43,3.27,9,160,5200,17199
gas,two,front,91.3,170.7,67.9,49.7,3139,six,181,3.43,3.27,7.8,200,5200,19699
gas,two,front,99.2,178.5,67.9,49.7,3139,six,181,3.43,3.27,9,160,5200,18399
gas,four,front,107.9,186.7,68.4,56.7,3020,four,120,3.46,3.19,8.4,97,5000,11900
diesel,four,front,107.9,186.7,68.4,56.7,3197,four,152,3.7,3.52,21,95,4150,13200
gas,four,front,114.2,198.9,68.4,58.7,3230,four,120,3.46,3.19,8.4,97,5000,12440
diesel,four,front,114.2,198.9,68.4,58.7,3430,four,152,3.7,3.52,21,95,4150,13860
gas,four,front,107.9,186.7,68.4,56.7,3075,four,120,3.46,2.19,8.4,95,5000,15580
diesel,four,front,107.9,186.7,68.4,56.7,3252,four,152,3.7,3.52,21,95,4150,16900
gas,four,front,114.2,198.9,68.4,56.7,3285,four,120,3.46,2.19,8.4,95,5000,16695
diesel,four,front,114.2,198.9,68.4,58.7,3485,four,152,3.7,3.52,21,95,4150,17075
gas,four,front,107.9,186.7,68.4,56.7,3075,four,120,3.46,3.19,8.4,97,5000,16630
diesel,four,front,107.9,186.7,68.4,56.7,3252,four,152,3.7,3.52,21,95,4150,17950
gas,four,front,108,186.7,68.3,56,3130,four,134,3.61,3.21,7,142,5600,18150
gas,two,front,93.7,157.3,63.8,50.8,1918,four,90,2.97,3.23,9.4,68,5500,5572
gas,two,front,93.7,157.3,63.8,50.8,2128,four,98,3.03,3.39,7.6,102,5500,7957
gas,four,front,93.7,157.3,63.8,50.6,1967,four,90,2.97,3.23,9.4,68,5500,6229
gas,four,front,93.7,167.3,63.8,50.8,1989,four,90,2.97,3.23,9.4,68,5500,6692
gas,four,front,93.7,167.3,63.8,50.8,2191,four,98,2.97,3.23,9.4,68,5500,7609
gas,four,front,103.3,174.6,64.6,59.8,2535,four,122,3.35,3.46,8.5,88,5000,8921
gas,two,front,95.9,173.2,66.3,50.2,2818,four,156,3.59,3.86,7,145,5000,12764
gas,two,front,94.5,168.9,68.3,50.2,2778,four,151,3.94,3.11,9.5,143,5500,22018
gas,two,rear,89.5,168.9,65,51.6,2756,six,194,3.74,2.9,9.5,207,5900,32528
gas,two,rear,89.5,168.9,65,51.6,2756,six,194,3.74,2.9,9.5,207,5900,34028
gas,two,rear,89.5,168.9,65,51.6,2800,six,194,3.74,2.9,9.5,207,5900,37028
gas,two,front,98.4,175.7,72.3,50.5,3366,eight,203,3.94,3.11,10,288,5750,31400.5
gas,four,front,96.1,181.5,66.5,55.2,2579,four,132,3.46,3.9,8.7,90,5100,9295
gas,two,front,96.1,176.8,66.6,50.5,2460,four,132,3.46,3.9,8.7,90,5100,9895
gas,two,front,99.1,186.6,66.5,56.1,2658,four,121,3.54,3.07,9.31,110,5250,11850
gas,four,front,99.1,186.6,66.5,56.1,2695,four,121,3.54,3.07,9.3,110,5250,12170
gas,two,front,99.1,186.6,66.5,56.1,2707,four,121,2.54,2.07,9.3,110,5250,15040
gas,four,front,99.1,186.6,66.5,56.1,2758,four,121,3.54,3.07,9.3,110,5250,15510
gas,two,front,99.1,186.6,66.5,56.1,2808,four,121,3.54,3.07,9,160,5500,18150
gas,four,front,99.1,186.6,66.5,56.1,2847,four,121,3.54,3.07,9,160,5500,18620
gas,two,front,93.7,156.9,63.4,53.7,2050,four,97,3.62,2.36,9,69,4900,5118
gas,two,front,93.7,157.9,63.6,53.7,2120,four,108,3.62,2.64,8.7,73,4400,7053
gas,two,front,93.3,157.3,63.8,55.7,2240,four,108,3.62,2.64,8.7,73,4400,7603
gas,four,front,97.2,172,65.4,52.5,2145,four,108,3.62,2.64,9.5,82,4800,7126
gas,four,front,97.2,172,65.4,52.5,2190,four,108,3.62,2.64,9.5,82,4400,7775
gas,four,front,97.2,172,65.4,52.5,2340,four,108,3.62,2.64,9,94,5200,9960
gas,four,front,97,172,65.4,54.3,2385,four,108,3.62,2.64,9,82,4800,9233
gas,four,front,97,172,65.4,54.3,2510,four,108,3.62,2.64,7.7,111,4800,11259
gas,four,front,97,173.5,65.4,53,2290,four,108,3.62,2.64,9,82,4800,7463
gas,four,front,97,173.5,65.4,53,2455,four,108,3.62,2.64,9,94,5200,10198
gas,four,front,96.9,173.6,65.4,54.9,2420,four,108,3.62,2.64,9,82,4800,8013
gas,four,front,96.9,173.6,65.4,54.9,2650,four,108,3.62,2.64,7.7,111,4800,11694
gas,two,front,95.7,158.7,63.6,54.5,1985,four,92,3.05,3.03,9,62,4800,5348
gas,two,front,95.7,158.7,63.6,54.5,2040,four,92,3.05,3.03,9,62,4800,6338
gas,four,front,95.7,158.7,63.6,54.5,2015,four,92,3.05,3.03,9,62,4800,6488
gas,four,front,95.7,169.7,63.6,59.1,2280,four,92,3.05,3.03,9,62,4800,6918
gas,four,front,95.7,169.7,63.6,59.1,2290,four,92,3.05,3.03,9,62,4800,7898
gas,four,front,95.7,169.7,63.6,59.1,3110,four,92,3.05,3.03,9,62,4800,8778
gas,four,front,95.7,166.3,64.4,53,2081,four,98,3.19,3.03,9,70,4800,6938
gas,four,front,95.7,166.3,64.4,52.8,2109,four,98,3.19,3.03,9,70,4800,7198
diesel,four,front,95.7,166.3,64.4,53,2275,four,110,3.27,3.35,22.5,56,4500,7898
diesel,four,front,95.7,166.3,64.4,52.8,2275,four,110,3.27,3.35,22.5,56,4500,7788
gas,four,front,95.7,166.3,64.4,53,2094,four,98,3.19,3.03,9,70,4800,7738
gas,four,front,95.7,166.3,64.4,52.8,2122,four,98,3.19,3.03,9,70,4800,8358
gas,four,front,95.7,166.3,64.4,52.8,2140,four,98,3.19,3.03,9,70,4800,9258
gas,two,front,94.5,168.7,64,52.6,2169,four,98,3.19,3.03,9,70,4800,8058
gas,two,front,94.5,168.7,64,52.6,2204,four,98,3.19,3.03,9,70,4800,8238
gas,two,front,94.5,168.7,64,52.6,2265,four,98,3.24,3.08,9.4,112,6600,9298
gas,two,front,94.5,168.7,64,52.6,2300,four,98,3.24,3.08,9.4,112,6600,9538
gas,two,front,98.4,176.2,65.6,52,2540,four,146,3.62,3.5,9.3,116,4800,8449
gas,two,front,98.4,176.2,65.6,52,2536,four,146,3.62,3.5,9.3,116,4800,9639
gas,two,front,98.4,176.2,65.6,52,2551,four,146,3.62,3.5,9.3,116,4800,9989
gas,two,front,98.4,176.2,65.6,52,2679,four,146,3.62,3.5,9.3,116,4800,11199
gas,two,front,98.4,176.2,65.6,52,2714,four,146,3.62,3.5,9.3,116,4800,11549
gas,two,front,98.4,176.2,65.6,53,2975,four,146,3.62,3.5,9.3,116,4800,17669
gas,four,front,102.4,175.6,66.5,54.9,2326,four,122,3.31,3.54,8.7,92,4200,8948
diesel,four,front,102.4,175.6,66.5,54.9,2480,four,110,3.27,3.35,22.5,73,4500,10698
gas,four,front,102.4,175.6,66.5,53.9,2414,four,122,3.31,3.54,8.7,92,4200,9988
gas,four,front,102.4,175.6,66.5,54.9,2414,four,122,3.31,3.54,8.7,92,4200,10898
gas,four,front,102.4,175.6,66.5,53.9,2458,four,122,3.31,3.54,8.7,92,4200,11248
gas,two,front,102.9,183.5,67.7,52,2976,six,171,3.27,3.35,9.3,161,5200,16558
gas,two,front,102.9,183.5,67.7,52,3016,six,171,3.27,3.35,9.3,161,5200,15998
gas,four,front,104.5,187.8,66.5,54.1,3131,six,171,3.27,3.35,9.2,156,5200,15690
gas,four,front,104.5,187.8,66.5,54.1,3151,six,161,3.27,3.35,9.2,156,5200,15750
diesel,two,front,97.3,171.7,65.5,55.7,2261,four,97,3.01,3.4,23,52,4800,7775
gas,two,front,97.3,171.7,65.5,55.7,2209,four,109,3.19,3.4,9,85,5250,7975
diesel,four,front,97.3,171.7,65.5,55.7,2264,four,97,3.01,3.4,23,52,4800,7995
gas,four,front,97.3,171.7,65.5,55.7,2212,four,109,3.19,3.4,9,85,5250,8195
gas,four,front,97.3,171.7,65.5,55.7,2275,four,109,3.19,3.4,9,85,5250,8495
diesel,four,front,97.3,171.7,65.5,55.7,2319,four,97,3.01,3.4,23,68,4500,9495
gas,four,front,97.3,171.7,65.5,55.7,2300,four,109,3.19,3.4,10,100,5500,9995
gas,two,front,94.5,159.3,64.2,55.6,2254,four,109,3.19,3.4,8.5,90,5500,11595
gas,two,front,94.5,165.7,64,51.4,2221,four,109,3.19,3.4,8.5,90,5500,9980
gas,four,front,100.4,180.2,66.9,55.1,2661,five,136,3.19,3.4,8.5,110,5500,13295
diesel,four,front,100.4,180.2,66.9,55.1,2579,four,97,3.01,3.4,23,68,4500,13845
gas,four,front,100.4,183.1,66.9,55.1,2563,four,109,3.19,3.4,9,88,5500,12290
gas,four,front,104.3,188.8,67.2,56.2,2912,four,141,3.78,3.15,9.5,114,5400,12940
gas,four,front,104.3,188.8,67.2,57.5,3034,four,141,3.78,3.15,9.5,114,5400,13415
gas,four,front,104.3,188.8,67.2,56.2,2935,four,141,3.78,3.15,9.5,114,5400,15985
gas,four,front,104.3,188.8,67.2,57.5,3042,four,141,3.78,3.15,9.5,114,5400,16515
gas,four,front,104.3,188.8,67.2,56.2,3045,four,130,3.62,3.15,7.5,162,5100,18420
gas,four,front,104.3,188.8,67.2,57.5,3157,four,130,3.62,3.15,7.5,162,5100,18950
gas,four,front,109.1,188.8,68.9,55.5,2952,four,141,3.78,3.15,9.5,114,5400,16845
gas,four,front,109.1,188.8,68.8,55.5,3049,four,141,3.78,3.15,8.7,160,5300,19045
gas,four,front,109.1,188.8,68.9,55.5,3012,six,173,3.58,2.87,8.8,134,5500,21485
diesel,four,front,109.1,188.8,68.9,55.5,3217,six,145,3.01,3.4,23,106,4800,22470
gas,four,front,109.1,188.8,68.9,55.5,3062,four,141,3.78,3.15,9.5,114,5400,22625
